spkitemid,r1,r2,acc,pron,flu,rhy
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_05,3,3,-1.512387042,-0.96727917,0.0154681541,-1.125783445
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_03,3,3,-0.482831075,-0.539084889,-3.406078087,-1.118748081
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_01,3,3,-0.133966386,-0.865246356,-0.405797187,-0.826325172
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_09,2,1,-1.338033722,-1.744215967,-0.019212895,-2.561533693
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_10,2,2,-0.333844304,-0.496025799,-0.803270396,-1.830653004
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_06,5,5,-0.333844304,0.7804489675,0.1893972057,-1.35986999
4r17pgzrhj-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_00,5,5,-0.333844304,-0.941504466,1.8147081067,-2.535926375
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_06,5,5,1.3272183914,0.9375446874,-0.22559955,-0.336861019
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_05,5,5,1.3272183914,0.7585152285,-0.216106578,0.3990502667
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_00,5,5,0.4130696239,-0.742735445,0.0419476888,0.0035917403
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_09,4,4,0.9993086573,0.8984574301,0.0543863003,-0.052112166
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_07,5,5,1.3272183914,0.9387783047,0.1595461075,0.8558549465
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_04,5,5,1.3272183914,1.1632015791,1.0393998534,0.1859574463
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_03,4,4,0.5051338281,1.0347495701,-0.062221018,-0.031997948
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_12,5,5,1.3272183914,1.4831429976,0.9190517006,-0.370846187
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_01,5,5,1.3272183914,0.9188302659,1.5218829171,0.2250720434
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_02,5,5,1.3272183914,0.6168555203,0.3802207429,0.8882616277
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_13,4,4,0.5051338281,0.9115098756,0.9111427821,-0.437346765
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_08,4,4,0.5051338281,0.1856272952,-1.48148083,-1.222463865
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_11,4,4,0.9993086573,0.7038030962,-0.337164874,-0.328203912
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_10,4,4,1.0445763519,1.5143687286,0.4310737738,-0.260275205
4upzrcp2va-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_14,5,5,0.9172080203,1.483464783,1.4783746417,0.0395280436
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_14,2,2,-1.247993072,-1.639309698,-0.623324817,-1.233956517
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_13,2,2,-0.524422139,0.3362039823,-0.577120347,-0.179493978
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_01,5,5,1.3272183914,-0.121936188,0.6730441416,1.4491915945
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_10,1,1,-1.229745003,0.7765544119,-0.259471139,-0.495967501
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,1,1,-1.208790048,-0.492486433,-0.499590339,-1.284332458
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_12,2,2,-1.080758232,-0.034909789,-2.442741006,-0.565454274
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_05,4,5,1.3272183914,0.4937681608,0.4648699782,0.2219191682
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_06,3,,-0.765473114,0.1998969799,-0.007658058,-0.910648674
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_04,4,5,1.3272183914,0.3834486221,0.4757199942,0.2763111813
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_03,3,3,-0.333844304,-0.528580294,1.2998851968,-0.610066513
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_02,3,4,1.3272183914,0.1686652461,0.6154607173,0.2246284309
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,2,1,-0.846598234,0.8519455145,-1.067235393,-0.747079775
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_08,3,3,-0.482831075,-0.397393534,-0.955606789,-2.36948716
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_09,3,1,-0.690302479,0.8637445957,-0.012883497,-0.535353084
4zwxjpd3on-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_00,5,5,1.3272183914,-0.525401842,0.8539541752,0.6581434386
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_12,3,4,-0.333844304,0.2678272995,-0.858933676,-0.576482573
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_13,2,2,-1.048115154,0.734371091,-0.781719262,-1.475748249
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_05,3,3,0.5051338281,-0.101076703,-0.530338639,0.4301107751
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_14,2,2,-1.247993072,0.0577230737,-1.607616033,-1.581238253
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_03,5,5,1.3272183914,0.613753949,-1.077005186,-0.079907634
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_10,1,1,-1.080758232,-0.088612232,-0.43838577,-1.136298988
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_09,3,3,-0.456142481,0.4149376208,-0.752407175,-0.018926313
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_04,4,3,0.5051338281,0.3137111067,-0.2769456,1.0669972856
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_08,3,3,-0.482831075,-0.361150087,-0.83283739,-0.289795347
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_01,5,5,1.3272183914,0.2206741436,0.7912051524,0.7211310056
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,3,3,-1.080758232,0.2176008668,-1.39366473,-1.237787081
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_02,4,3,0.7801823813,0.331496406,0.2665274235,0.6464149761
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,1,1,-1.363400272,-0.628130463,-0.420051104,1.4389523831
56j6w8tc3a-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_00,5,5,1.3272183914,-0.141654533,-0.470541569,1.1913091869
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_13,4,3,0.3230289735,0.5447163499,-0.72781458,-0.857681068
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_14,3,3,0.5445253304,0.9517909438,1.5829133389,-0.042059217
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_09,4,4,0.4130696239,0.8744209428,1.5923824494,0.8684600856
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_08,5,5,1.3272183914,1.141194647,0.2560071095,0.0543983801
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_11,5,5,0.6957116634,0.9431204957,-0.380928437,0.042016421
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_07,4,4,1.3272183914,1.1564100981,0.2518391234,-0.138105694
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_03,4,5,0.5051338281,1.258514889,-2.550813306,0.536601072
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_05,5,5,1.3272183914,0.8523531031,-0.0391627,1.055772952
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_10,4,4,0.2976624239,1.0677814131,0.2490843297,0.1514984857
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_12,4,4,0.2976624239,0.6488307526,-2.284786028,-0.211232936
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_00,5,5,0.4130696239,0.2201913295,0.1554274019,2.3998248187
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_01,5,5,0.2976624239,0.7379358278,1.3382964369,-0.03773079
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_04,5,5,1.3272183914,1.1557738951,1.7085611488,-0.066102492
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_06,4,5,0.0226138707,1.0560654854,0.4969673362,-0.691168312
56l4knvhio-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_02,5,5,1.3272183914,0.7966625689,0.7798762327,1.6464806401
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,2,1,-1.363400272,-0.421846438,-1.50427862,-1.110402419
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_10,2,2,-0.765473114,-3.851855034,2.2395613753,-2.614385194
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_09,3,3,-0.911798836,-0.875410977,0.2456293233,-1.661350174
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_13,3,3,-0.880880314,-0.122241772,-0.399499581,-0.166132498
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_04,5,5,0.8955895813,0.7193963141,-0.18804596,-0.539594668
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_12,3,4,-0.598238275,-0.490707447,-0.902432904,-1.130173728
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_08,3,3,-1.278227044,-0.122135098,-0.58261129,0.2262270005
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_01,5,5,-0.333844304,0.4776379575,-1.172069378,-1.300728364
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_02,5,5,0.2976624239,0.1874539375,1.3322813699,1.2250875886
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_05,5,4,1.3272183914,-0.054971471,-0.695827954,-0.547982355
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_03,4,5,-1.512387042,-2.525714661,-0.611717698,-0.668033857
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,3,3,-1.512387042,0.3998621606,-0.667989517,-1.888083436
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_06,2,3,-1.155928867,-0.632027952,0.6250088484,-1.160813137
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_00,5,5,1.3272183914,0.4543973489,-0.357178473,0.2125118569
56o15c0fet-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_14,3,3,-0.965351032,0.4865436394,-0.671123964,-0.099628854
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_04,5,5,0.5803044633,0.8121796153,1.5735258472,0.3817603245
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_11,4,4,0.1486756532,0.7657727931,-0.361767068,0.348487023
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_06,5,5,1.3272183914,0.6008675096,0.7969163556,0.5756603886
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_12,5,,1.0445763519,0.8572739115,0.2910260667,1.1183946398
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_03,5,4,0.5051338281,0.8241816249,1.0152483168,0.565179201
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_13,2,2,-0.765473114,0.8049304577,-0.05804965,1.159066382
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_10,3,3,0.0761660669,0.6693119385,0.0659771316,-0.628555211
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_00,5,4,0.4130696239,-0.181546763,0.2064597945,1.2880663344
58i4ia79lx-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_09,4,4,0.1486756532,0.9276392135,0.7585885628,0.4209515272
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_12,2,2,-1.080758232,-0.597365345,-3.4164875,0.2724129576
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_13,2,2,-0.880880314,-0.271990424,-1.004578181,-0.253922763
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_14,1,1,-1.247993072,-0.62023033,-0.013636716,-1.297737928
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,1,1,-1.363400272,-1.707751413,-0.771142726,-0.288264604
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_04,5,5,1.3272183914,0.297299737,0.4978294606,0.1516580035
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_06,3,3,-0.099684306,0.6563639835,0.3481616593,-0.973994551
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_03,5,5,1.3272183914,0.7485324413,0.0169112129,0.6514625958
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_10,2,2,-1.080758232,0.3472720446,0.3644198266,0.2847901709
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_01,4,4,-0.333844304,0.6662632235,1.7126220899,0.7913246785
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_05,3,3,0.1486756532,0.444016009,0.2989634976,-0.41466305
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_00,5,5,1.3272183914,-0.971718709,-0.426381502,1.0865977052
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_02,5,5,1.3272183914,0.4760420943,0.9754885255,1.2087588845
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,1,1,-1.512387042,-2.630380211,-1.291918651,-0.128195651
59wy10vtby-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_09,3,3,-0.456142481,0.4790350788,-0.226909498,-0.88394599
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_13,2,2,-1.029867085,-3.028785139,-0.348383336,0.3353408086
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_10,2,2,-1.048115154,-0.074541328,-0.911767905,-0.049162061
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_11,4,3,-0.555340661,-0.330203052,-0.691167009,-0.293375276
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_09,3,3,-0.333844304,-1.678624238,-0.637648727,-1.212676583
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_14,1,1,-1.512387042,-3.692173054,1.2096065116,-3.844432037
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_05,3,3,0.5803044633,-0.394433527,-0.128098457,0.6296567234
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_04,2,2,-1.512387042,-0.911411984,0.2593578209,-1.204530486
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_03,1,0,-1.512387042,-1.432570382,-1.608366128,0.2119627694
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_07,4,3,0.0226138707,0.5078988025,-0.650856484,-0.273719584
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_01,5,4,-2.54194301,0.5670832348,-0.030818969,0.0487799764
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_02,4,5,0.1486756532,0.7505116226,-0.049665403,-0.635507984
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_06,2,2,-0.333844304,-0.814253029,0.5147800353,0.0868029182
5e9hws8ycv-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_00,5,3,-1.994907,-0.261897483,-0.697467144,0.2561988819
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_10,2,2,-0.524422139,0.8359610849,0.0447056861,-0.839862803
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_05,3,3,-0.598238275,-1.087890497,-0.242533299,-0.430416693
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_12,1,1,-1.512387042,0.3221754832,-0.018476667,-1.216603228
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_09,2,1,-1.155928867,0.132734424,0.5146215113,-0.341361597
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_14,2,2,-0.934432511,-0.109683764,-0.69149218,-1.945809844
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_04,1,1,-1.080758232,-0.737862298,0.6093465479,-0.161865328
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_13,3,2,-0.899802679,-1.142498987,0.0227205084,0.0605235586
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_01,5,5,1.3272183914,0.5719740568,1.3074696269,1.2411357416
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_07,1,2,-0.965351032,0.5079802308,-0.134461037,-0.967733841
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_06,1,2,-0.965351032,1.1093556243,0.5221438241,0.1839660136
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_11,2,2,-1.155928867,-0.14550484,-0.813757331,-0.472083359
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_02,4,4,0.6957116634,0.295084604,0.3854675852,0.4284075742
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_03,5,5,0.1486756532,0.4711642696,-0.139916652,1.498348371
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_08,1,2,-1.512387042,0.636729201,-1.140681401,-0.445076936
5ft4n575ay-LADform1_Speaking_ListenRepeat_USMale_CampusTour_Set1_00,4,5,-0.333844304,0.0672323487,0.0419477199,0.9236283281
5hlwbpn7e1-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_13,1,1,-1.363400272,-2.517994249,-1.512582443,0.3456361648
5hlwbpn7e1-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_11,1,1,-1.512387042,0.0354794024,-1.278654764,0.6686510444
5hlwbpn7e1-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_08,2,2,-1.278227044,0.3213059248,0.4886870403,1.388160065
5hlwbpn7e1-LADform2_Speaking_ListenRepeat_UKFemale_Presentations_Set2_07,2,1,-1.512387042,-0.930089238,-1.296527047,1.4336519695
